hts8;mfn_text_rate;mfn_rate_type_code;mfn_ad_val_rate;mfn_specific_rate;new_eu_rate
24011021;Free;0;0;0;15
24011029;Free;0;0;0;15
24011044;Free;0;0;0;15
24011048;Free;0;0;0;15
24011053;Free;0;0;0;15
24012014;Free;0;0;0;15
24012018;Free;0;0;0;15
24012023;Free;0;0;0;15
24012026;Free;0;0;0;15
24012029;Free;0;0;0;15
24012060;Free;0;0;0;15
24012075;Free;0;0;0;15
24013003;Free;0;0;0;15
24013006;Free;0;0;0;15
24013009;Free;0;0;0;15
24013013;Free;0;0;0;15
24013016;Free;0;0;0;15
24013019;Free;0;0;0;15
24013023;Free;0;0;0;15
24013033;Free;0;0;0;15
25010000;Free;0;0;0;15
25020000;Free;0;0;0;15
25030000;Free;0;0;0;15
25041010;Free;0;0;0;15
25041050;Free;0;0;0;15
25049000;Free;0;0;0;15
25051010;Free;0;0;0;15
25051050;Free;0;0;0;15
25059000;Free;0;0;0;15
25061000;Free;0;0;0;15
25062000;Free;0;0;0;15
25070000;Free;0;0;0;15
25081000;Free;0;0;0;15
25083000;Free;0;0;0;15
25084001;Free;0;0;0;15
25085000;Free;0;0;0;15
25086000;Free;0;0;0;15
25087000;Free;0;0;0;15
25090010;Free;0;0;0;15
25090020;Free;0;0;0;15
25101000;Free;0;0;0;15
25102000;Free;0;0;0;15
25111010;Free;0;0;0;15
25112000;Free;0;0;0;15
25120000;Free;0;0;0;15
25131000;Free;0;0;0;15
25132010;Free;0;0;0;15
25132090;Free;0;0;0;15
25140000;Free;0;0;0;15
25151100;Free;0;0;0;15
25151210;Free;0;0;0;15
25161100;Free;0;0;0;15
25162010;Free;0;0;0;15
25171000;Free;0;0;0;15
25172000;Free;0;0;0;15
25173000;Free;0;0;0;15
25174100;Free;0;0;0;15
25174900;Free;0;0;0;15
25181000;Free;0;0;0;15
25191000;Free;0;0;0;15
25199010;Free;0;0;0;15
25199020;Free;0;0;0;15
25199050;Free;0;0;0;15
25201000;Free;0;0;0;15
25202000;Free;0;0;0;15
25210000;Free;0;0;0;15
