hs_8digit;hs_92_origin;description;excluded;source;mapping_method
52054800;5205.45;Cotton yarn,>/=85%, multiple, combed, <125 dtex, not put up, nes;0;WTO ATC Annex;concordance
52061100;5206.11;Cotton yarn, <85%, single, uncombed,>/=714.29, not put up;0;WTO ATC Annex;both
52061200;5206.12;Cotton yarn, <85%, single, uncombed, 714.29 >dtex>/=232.56, nt put up;0;WTO ATC Annex;both
52061300;5206.13;Cotton yarn, <85%, single, uncombed, 232.56 >dtex>/=192.31, not put up;0;WTO ATC Annex;both
52061400;5206.14;Cotton yarn, <85%, single, uncombed, 192.31 >dtex>/=125, nt put up;0;WTO ATC Annex;both
52061500;5206.15;Cotton yarn,<85%,single, uncombed,<125 dtex, not put up for retail sale;0;WTO ATC Annex;both
52062100;5206.21;Cotton yarn, <85%, single, combed,>/=714.29 dtex, nt put up;0;WTO ATC Annex;both
52062200;5206.22;Cotton yarn, <85%, single, combed, 714.29 >dtex>/=232.56, not put up;0;WTO ATC Annex;both
52062300;5206.23;Cotton yarn, <85%, single, combed, 232.56 >dtex>/=192.31, not put up;0;WTO ATC Annex;both
52062400;5206.24;Cotton yarn, <85%, single, combed, 192.31 >dtex>/=125, not put up;0;WTO ATC Annex;both
52062500;5206.25;Cotton yarn,<85%,single, combed,<125 dtex, not put up for retail sale;0;WTO ATC Annex;both
52063100;5206.31;Cotton yarn, <85%, multiple, uncombed,>/=714.29, not put up, nes;0;WTO ATC Annex;both
52063200;5206.32;Cotton yarn,<85%,multiple, uncombed, 714.29 >dtex>/=232.56, nt put up, nes;0;WTO ATC Annex;both
52063300;5206.33;Cotton yarn,<85%,multiple, uncombed, 232.56 >dex>/=192.31, nt put up, nes;0;WTO ATC Annex;both
52063400;5206.34;Cotton yarn,<85%,multiple, uncombed, 192.31 >dtex>/=125, nt put up, nes;0;WTO ATC Annex;both
52063500;5206.35;Cotton yarn, <85%, multiple, uncombed, <125 dtex, not put up, nes;0;WTO ATC Annex;both
52064100;5206.41;Cotton yarn, <85%, multiple, combed,>/=714.29, nt put up, nes;0;WTO ATC Annex;both
52064200;5206.42;Cotton yarn,<85%,multiple, combed, 714.29 >dtex>/=232.56, nt put up, nes;0;WTO ATC Annex;both
52064300;5206.43;Cotton yarn,<85%,multiple, combed, 232.56 >dtex>/=192.31, nt put up, nes;0;WTO ATC Annex;both
52064400;5206.44;Cotton yarn,<85%,multiple, combed, 192.31 >dtex>/=125, nt put up, nes;0;WTO ATC Annex;both
52064500;5206.45;Cotton yarn, <85%, multiple, combed, <125 dtex, not put up, nes;0;WTO ATC Annex;both
52071000;5207.10;Cotton yarn (other than sewing thread)>/=85% by weight of cotton, put up;0;WTO ATC Annex;both
52079000;5207.90;Cotton yarn (other than sewg thread) <85% by wt of cotton, put up f retl sale;0;WTO ATC Annex;both
52081120;5208.11;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, unbleached;0;WTO ATC Annex;both
52081140;5208.11;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, unbleached;0;WTO ATC Annex;both
52081160;5208.11;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, unbleached;0;WTO ATC Annex;both
52081180;5208.11;Plain weave cotton fabric,>/=85%, not more than 100 g/m2, unbleached;0;WTO ATC Annex;both
52081240;5208.12;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, unbleached;0;WTO ATC Annex;both
52081260;5208.12;Plain weave cotton fabric,>/=85%, >100 g/m2 to 200 g/m2, unbleached;0;WTO ATC Annex;both
