hs_8digit;origin;rate;;;;;;
84662080;List 1;25;;;;;;
84663010;List 1;25;;;;;;
84663060;List 1;25;;;;;;
84669150;List 1;25;;;;;;
84669210;List 1;25;;;;;;
84669250;List 1;25;;;;;;
84669311;List 1;25;;;;;;
84669330;List 1;25;;;;;;
84669353;List 1;25;;;;;;
84669360;List 1;25;;;;;;
84669375;List 1;25;;;;;;
84669396;List 1;25;;;;;;
84669398;List 1;25;;;;;;
84669420;List 1;25;;;;;;
84669440;List 1;25;;;;;;
84669465;List 1;25;;;;;;
84669485;List 1;25;;;;;;
84671110;List 1;25;;;;;;
84671150;List 1;25;;;;;;
84682050;List 1;25;;;;;;
84688050;List 1;25;;;;;;
84717030;List 1;25;;;;;;
84717040;List 1;25;;;;;;
84717060;List 1;25;;;;;;
84717090;List 1;25;;;;;;
84733020;List 1;25;;;;;;
84734010;List 1;25;;;;;;
84734086;List 1;25;;;;;;
84735030;List 1;25;;;;;;
84741000;List 1;25;;;;;;
84742000;List 1;25;;;;;;
84743100;List 1;25;;;;;;
84743200;List 1;25;;;;;;
84743900;List 1;25;;;;;;
84748000;List 1;25;;;;;;
84749000;List 1;25;;;;;;
84751000;List 1;25;;;;;;
84752100;List 1;25;;;;;;
84759010;List 1;25;;;;;;
84759090;List 1;25;;;;;;
84771030;List 1;25;;;;;;
84771040;List 1;25;;;;;;
84771090;List 1;25;;;;;;
84772000;List 1;25;;;;;;
84773000;List 1;25;;;;;;
84774001;List 1;25;;;;;;
84775100;List 1;25;;;;;;
84778001;List 1;25;;;;;;
84779025;List 1;25;;;;;;
84779045;List 1;25;;;;;;
84779065;List 1;25;;;;;;
84779086;List 1;25;;;;;;
84791000;List 1;25;;;;;;
84792000;List 1;25;;;;;;
84793000;List 1;25;;;;;;
84794000;List 1;25;;;;;;
84795000;List 1;25;;;;;;
84798100;List 1;25;;;;;;
84798200;List 1;25;;;;;;
84798983;List 1;25;;;;;;
84798992;List 1;25;;;;;;
84799095;List 1;25;;;;;;
84802000;List 1;25;;;;;;
84803000;List 1;25;;;;;;
84804100;List 1;25;;;;;;
84804900;List 1;25;;;;;;
84805000;List 1;25;;;;;;
84807110;List 1;25;;;;;;
84807140;List 1;25;;;;;;
84807180;List 1;25;;;;;;
84811000;List 1;25;;;;;;
84812000;List 1;25;;;;;;
84813020;List 1;25;;;;;;
84813090;List 1;25;;;;;;
84814000;List 1;25;;;;;;
84819090;List 1;25;;;;;;
84821050;List 1;25;;;;;;
84822000;List 1;25;;;;;;
84823000;List 1;25;;;;;;
84824000;List 1;25;;;;;;
84825000;List 1;25;;;;;;
84828000;List 1;25;;;;;;
84829100;List 1;25;;;;;;
84829905;List 1;25;;;;;;
84829915;List 1;25;;;;;;
84829925;List 1;25;;;;;;
84829935;List 1;25;;;;;;
84829945;List 1;25;;;;;;
84829965;List 1;25;;;;;;
84833040;List 1;25;;;;;;
84834010;List 1;25;;;;;;
84834030;List 1;25;;;;;;
84834080;List 1;25;;;;;;
84834090;List 1;25;;;;;;
84835060;List 1;25;;;;;;
84835090;List 1;25;;;;;;
84836040;List 1;25;;;;;;
84839010;List 1;25;;;;;;
84839020;List 1;25;;;;;;
84839030;List 1;25;;;;;;
84839070;List 1;25;;;;;;
84839080;List 1;25;;;;;;
84841000;List 1;25;;;;;;
84842000;List 1;25;;;;;;
84849000;List 1;25;;;;;;
84852000;List 1;25;;;;;;
84859010;List 1;25;;;;;;
84859090;List 1;25;;;;;;
84871000;List 1;25;;;;;;
84879000;List 1;25;;;;;;
85011040;List 1;25;;;;;;
85012020;List 1;25;;;;;;
85012050;List 1;25;;;;;;
85012060;List 1;25;;;;;;
85013120;List 1;25;;;;;;
85013150;List 1;25;;;;;;
85013160;List 1;25;;;;;;
85013245;List 1;25;;;;;;
85013255;List 1;25;;;;;;
85013340;List 1;25;;;;;;
85013361;List 1;25;;;;;;
85013430;List 1;25;;;;;;
85013461;List 1;25;;;;;;
85015120;List 1;25;;;;;;
85015140;List 1;25;;;;;;
85015150;List 1;25;;;;;;
85015160;List 1;25;;;;;;
85015280;List 1;25;;;;;;
85015340;List 1;25;;;;;;
85015380;List 1;25;;;;;;
85016201;List 1;25;;;;;;
85016301;List 1;25;;;;;;
85016401;List 1;25;;;;;;
85017230;List 1;25;;;;;;
85017290;List 1;25;;;;;;
85018020;List 1;25;;;;;;
85018030;List 1;25;;;;;;
85018090;List 1;25;;;;;;
85021100;List 1;25;;;;;;
85021200;List 1;25;;;;;;
85021300;List 1;25;;;;;;
85023100;List 1;25;;;;;;
85023900;List 1;25;;;;;;
85024000;List 1;25;;;;;;
85030020;List 1;25;;;;;;
85030035;List 1;25;;;;;;
85030045;List 1;25;;;;;;
85030065;List 1;25;;;;;;
85030075;List 1;25;;;;;;
85030090;List 1;25;;;;;;
85042100;List 1;25;;;;;;
85042200;List 1;25;;;;;;
85042300;List 1;25;;;;;;
85043200;List 1;25;;;;;;
85043300;List 1;25;;;;;;
85043400;List 1;25;;;;;;
85044040;List 1;25;;;;;;
85049041;List 1;25;;;;;;
85049065;List 1;25;;;;;;
85049075;List 1;25;;;;;;
85049096;List 1;25;;;;;;
85051910;List 1;25;;;;;;
85052000;List 1;25;;;;;;
85059030;List 1;25;;;;;;
85059040;List 1;25;;;;;;
85059070;List 1;25;;;;;;
85059075;List 1;25;;;;;;
85064010;List 1;25;;;;;;
85064050;List 1;25;;;;;;
85065000;List 1;25;;;;;;
85066000;List 1;25;;;;;;
85069000;List 1;25;;;;;;
85079080;List 1;25;;;;;;
85141100;List 1;25;;;;;;
85141900;List 1;25;;;;;;
85142060;List 1;25;;;;;;
85142080;List 1;25;;;;;;
85143110;List 1;25;;;;;;
85143190;List 1;25;;;;;;
85143210;List 1;25;;;;;;
85143290;List 1;25;;;;;;
85143910;List 1;25;;;;;;
85143990;List 1;25;;;;;;
85144000;List 1;25;;;;;;
85149080;List 1;25;;;;;;
85151100;List 1;25;;;;;;
85151900;List 1;25;;;;;;
85152100;List 1;25;;;;;;
85152900;List 1;25;;;;;;
85153100;List 1;25;;;;;;
85153900;List 1;25;;;;;;
85158000;List 1;25;;;;;;
85159020;List 1;25;;;;;;
85159040;List 1;25;;;;;;
85241110;List 1;25;;;;;;
85249110;List 1;25;;;;;;
85255070;List 1;25;;;;;;
85256010;List 1;25;;;;;;
85256020;List 1;25;;;;;;
85258910;List 1;25;;;;;;
85258920;List 1;25;;;;;;
85261000;List 1;25;;;;;;
85269100;List 1;25;;;;;;
85269250;List 1;25;;;;;;
85279915;List 1;25;;;;;;
85279940;List 1;25;;;;;;
85291040;List 1;25;;;;;;
85299005;List 1;25;;;;;;
85299006;List 1;25;;;;;;
85299009;List 1;25;;;;;;
85299016;List 1;25;;;;;;
85299019;List 1;25;;;;;;
85299021;List 1;25;;;;;;
85299024;List 1;25;;;;;;
85299029;List 1;25;;;;;;
85299033;List 1;25;;;;;;
85299046;List 1;25;;;;;;
85299063;List 1;25;;;;;;
85299068;List 1;25;;;;;;
85299073;List 1;25;;;;;;
85299078;List 1;25;;;;;;
85299081;List 1;25;;;;;;
85299083;List 1;25;;;;;;
85299089;List 1;25;;;;;;
85299093;List 1;25;;;;;;
85299095;List 1;25;;;;;;
85299097;List 1;25;;;;;;
85299098;List 1;25;;;;;;
85301000;List 1;25;;;;;;
85308000;List 1;25;;;;;;
85309000;List 1;25;;;;;;
85321000;List 1;25;;;;;;
85322100;List 1;25;;;;;;
85322200;List 1;25;;;;;;
85322300;List 1;25;;;;;;
85322400;List 1;25;;;;;;
85322500;List 1;25;;;;;;
85322900;List 1;25;;;;;;
85323000;List 1;25;;;;;;
85329000;List 1;25;;;;;;
85331000;List 1;25;;;;;;
85332100;List 1;25;;;;;;
85332900;List 1;25;;;;;;
85333100;List 1;25;;;;;;
85334040;List 1;25;;;;;;
85334080;List 1;25;;;;;;
85339080;List 1;25;;;;;;
85351000;List 1;25;;;;;;
85352100;List 1;25;;;;;;
85352900;List 1;25;;;;;;
85353000;List 1;25;;;;;;
85359040;List 1;25;;;;;;
85359080;List 1;25;;;;;;
85361000;List 1;25;;;;;;
85362000;List 1;25;;;;;;
85363040;List 1;25;;;;;;
85364100;List 1;25;;;;;;
85364900;List 1;25;;;;;;
85365040;List 1;25;;;;;;
85365090;List 1;25;;;;;;
85366940;List 1;25;;;;;;
85369040;List 1;25;;;;;;
85369085;List 1;25;;;;;;
85371060;List 1;25;;;;;;
85371080;List 1;25;;;;;;
85372000;List 1;25;;;;;;
85381000;List 1;25;;;;;;
85389040;List 1;25;;;;;;
85389060;List 1;25;;;;;;
85389081;List 1;25;;;;;;
85394100;List 1;25;;;;;;
85399000;List 1;25;;;;;;
85407910;List 1;25;;;;;;
85407920;List 1;25;;;;;;
85408900;List 1;25;;;;;;
85412100;List 1;25;;;;;;
85412900;List 1;25;;;;;;
85413000;List 1;25;;;;;;
85414100;List 1;25;;;;;;
85414970;List 1;25;;;;;;
85414980;List 1;25;;;;;;
85414995;List 1;25;;;;;;
85415100;List 1;25;;;;;;
85415900;List 1;25;;;;;;
85416000;List 1;25;;;;;;
85419000;List 1;25;;;;;;
85431000;List 1;25;;;;;;
85432000;List 1;25;;;;;;
85433020;List 1;25;;;;;;
85433090;List 1;25;;;;;;
85437020;List 1;25;;;;;;
85437042;List 1;25;;;;;;
85437060;List 1;25;;;;;;
85437080;List 1;25;;;;;;
85437095;List 1;25;;;;;;
85437097;List 1;25;;;;;;
85439012;List 1;25;;;;;;
85439015;List 1;25;;;;;;
85439035;List 1;25;;;;;;
85439065;List 1;25;;;;;;
85439068;List 1;25;;;;;;
85441100;List 1;25;;;;;;
85441900;List 1;25;;;;;;
85443000;List 1;25;;;;;;
85444930;List 1;25;;;;;;
85444990;List 1;25;;;;;;
85446020;List 1;25;;;;;;
85446040;List 1;25;;;;;;
85447000;List 1;25;;;;;;
86011000;List 1;25;;;;;;
86031000;List 1;25;;;;;;
86039000;List 1;25;;;;;;
86040000;List 1;25;;;;;;
86071200;List 1;25;;;;;;
86071906;List 1;25;;;;;;
86071912;List 1;25;;;;;;
86071915;List 1;25;;;;;;
86071990;List 1;25;;;;;;
86072110;List 1;25;;;;;;
86072150;List 1;25;;;;;;
86072910;List 1;25;;;;;;
86072950;List 1;25;;;;;;
86079100;List 1;25;;;;;;
86079910;List 1;25;;;;;;
86079950;List 1;25;;;;;;
86080000;List 1;25;;;;;;
