data_type;exporter;iso2;un_code;hs_8digit;hs_8digit_name;us_imports
2025 New Combination;Albania;AL;8;61046100;;0
2025 New Combination;Albania;AL;8;63053300;;0
2025 New Combination;Albania;AL;8;84119990;;0
2025 New Combination;Albania;AL;8;61082990;;0
2025 New Combination;Albania;AL;8;84283900;;0
2025 New Combination;Albania;AL;8;57011040;;0
2025 New Combination;Albania;AL;8;57011090;;0
2025 New Combination;Albania;AL;8;61082210;;0
2025 New Combination;Albania;AL;8;61031060;;0
2025 New Combination;Albania;AL;8;61149090;;0
2025 New Combination;Albania;AL;8;39251000;;0
2025 New Combination;Albania;AL;8;62031930;;0
2025 New Combination;Albania;AL;8;84179000;;0
2025 New Combination;Albania;AL;8;62041200;;0
2025 New Combination;Albania;AL;8;61013015;;0
2025 New Combination;Albania;AL;8;63071010;;0
2025 New Combination;Albania;AL;8;64059090;;0
2025 New Combination;Albania;AL;8;94049020;;0
2025 New Combination;Albania;AL;8;83023030;;0
2025 New Combination;Albania;AL;8;20019060;;0
2025 New Combination;Albania;AL;8;60062110;;0
2025 New Combination;Albania;AL;8;84778001;;0
2025 New Combination;Albania;AL;8;20057023;;0
2025 New Combination;Albania;AL;8;62089920;;0
2025 New Combination;Albania;AL;8;20059930;;0
2025 New Combination;Albania;AL;8;84649001;;0
2025 New Combination;Albania;AL;8;84798995;;0
2025 New Combination;Albania;AL;8;84212100;;0
2025 New Combination;Albania;AL;8;58061024;;0
2025 New Combination;Albania;AL;8;94054184;;0
2025 New Combination;Albania;AL;8;83024160;;0
2025 New Combination;Albania;AL;8;54072000;;0
2025 New Combination;Albania;AL;8;84139190;;0
2025 New Combination;Albania;AL;8;18050000;;0
2025 New Combination;Albania;AL;8;03034501;;0
2025 New Combination;Albania;AL;8;85340000;;0
2025 New Combination;Albania;AL;8;44181100;;0
2025 New Combination;Albania;AL;8;44209065;;0
2025 New Combination;Albania;AL;8;64051000;;0
2025 New Combination;Albania;AL;8;55103000;;0
2025 New Combination;Albania;AL;8;84133090;;0
2025 New Combination;Albania;AL;8;62171095;;0
2025 New Combination;Albania;AL;8;85480000;;0
2025 New Combination;Albania;AL;8;90184980;;0
2025 New Combination;Albania;AL;8;68030050;;0
2025 New Combination;Albania;AL;8;44101900;;0
2025 New Combination;Albania;AL;8;84795000;;0
2025 New Combination;Albania;AL;8;70031900;;0
2025 New Combination;Albania;AL;8;72107060;;0
2025 New Combination;Albania;AL;8;61072200;;0
2025 New Combination;Albania;AL;8;94019190;;0
2025 New Combination;Albania;AL;8;09023000;;0
2025 New Combination;Albania;AL;8;16041620;;0
2025 New Combination;Albania;AL;8;58081090;;0
2025 New Combination;Albania;AL;8;15099040;;0
2025 New Combination;Albania;AL;8;61019090;;0
2025 New Combination;Algeria;DZ;12;48191000;;0
2025 New Combination;Algeria;DZ;12;03034501;;0
2025 New Combination;Algeria;DZ;12;85269100;;0
2025 New Combination;Algeria;DZ;12;39249020;;0
2025 New Combination;Algeria;DZ;12;17024040;;0
2025 New Combination;Algeria;DZ;12;97053900;;0
2025 New Combination;Algeria;DZ;12;34023110;;0
2025 New Combination;Algeria;DZ;12;34011150;;0
2025 New Combination;Algeria;DZ;12;27101245;;0
2025 New Combination;Algeria;DZ;12;20081925;;0
2025 New Combination;Algeria;DZ;12;20041080;;0
2025 New Combination;Algeria;DZ;12;63079098;;0
2025 New Combination;Algeria;DZ;12;20079965;;0
2025 New Combination;Algeria;DZ;12;15093090;;0
