hs_8digit;rate_type;import_origin;exception_type;effective_date;end_date;source
08129040;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09011100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09011200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09012100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09012200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09019010;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09019020;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09021010;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09021090;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09022010;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09022090;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09023000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09024000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09030000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09041100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09041200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042120;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042140;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042160;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042180;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042220;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042240;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042273;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042276;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09042280;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09051000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09052000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09061100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09061900;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09062000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09071000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09072000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09081100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09081200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09082100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09082220;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09082240;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09083100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09083200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09092100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09092200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09093100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09093200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09096100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09096200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09101100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09101200;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09102000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09103000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109907;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109910;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109920;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109940;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109950;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
09109960;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
10039040;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
10083000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
10084000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
10086000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
11062090;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
11063020;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
11081400;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
11081900;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
12030000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
12079100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
14049090;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
15131100;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
15131900;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
15211000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
15219020;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
16025005;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
16025007;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
16025008;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
16025021;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
16025060;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
16025090;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
18010000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
18020000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
18031000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
18032000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
18040000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
18050000;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
19030020;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
19030040;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
19059010;bra_topup;BRA;country_exception;2025-11-13;;Brazil Annex November 13
